,Business Acumen,Interpersonal Sensitivity,Problem Solving and Decision Making,Comm Skills,Corporate Steward,Relevant Professional Understanding,Proficiency in the use of System and Tools,Data Management,People Devt,Strategic Management,Employee ID
111,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 78
112,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 362
113,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 123
114,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 99
115,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 86
116,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 87
117,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 109
118,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 44
119,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 381
120,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 68
121,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 48
122,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 54
123,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 368
124,EXCEEDING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 461
125,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 458
126,EXCEEDING,EXHIBITING,EXHIBITING,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 457
127,EXCEEDING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 456
128,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 450
129,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 449
130,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 436
131,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 435
132,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 432
133,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 430
134,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 427
135,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 419
136,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,EXCEEDING,Employee 417
137,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXCEEDING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 392
138,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 391
139,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 380
140,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 379
141,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 104
142,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 102
143,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXCEEDING,EXCEEDING,Employee 395
144,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXCEEDING,EXHIBITING,Employee 167
145,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 118
146,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 100
147,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 90
148,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXHIBITING,Employee 455
149,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 371
448,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 371
150,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 58
151,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 50
152,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 43
153,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 41
154,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 433
155,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 34
156,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 423
157,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 420
158,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 402
159,EXHIBITING,EXCEEDING,EXCEEDING,EXCEEDING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 183
160,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 384
161,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 120
162,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 117
163,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 32
164,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 96
165,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 84
166,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 77
167,EXCEEDING,EXCEEDING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 157
168,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 75
169,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 56
170,EXHIBITING,EXCEEDING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 52
107,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 309
171,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 309
418,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 309
172,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 27
173,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 21
174,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 5
175,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 63
60,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 51
176,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 51
177,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 332
178,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 281
179,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 264
180,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 254
181,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 252
182,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 249
183,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 244
184,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 230
185,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 210
186,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 205
187,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 190
188,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 178
189,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 172
190,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 57
191,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 33
192,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 30
193,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 474
194,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 473
195,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 465
196,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 447
197,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 446
198,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 444
199,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 442
200,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 440
201,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 437
202,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 421
203,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 418
204,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 416
205,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 375
206,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 243
207,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 242
208,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 116
209,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 108
210,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,Employee 236
211,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 95
212,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 94
213,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 92
214,EXHIBITING,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 79
215,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXCEEDING,EXCEEDING,Employee 67
216,EXHIBITING,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 31
217,EXCEEDING,EXCEEDING,EXHIBITING,EXHIBITING,EXHIBITING,EXCEEDING,EXHIBITING,EXHIBITING,EXCEEDING,EXCEEDING,Employee 7
218,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 138
219,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 139
220,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 153
221,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 156
222,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,BELOW_EXPECTATIONS,EXHIBITING,EXHIBITING,Employee 169
