Employee ID,Business Acumen,Interpersonal Sensitivity,Professional Ethics,Problem Solving and Decision Making,Communication Skills,Corporate Steward,Relevant Professional Understanding,Computer Proficiency,Proficiency in the use of System and Tools,Data Management,People Development,Strategic Management
Employee 162,4,4,4,4,3,4,4,2,3,4,4,4
Employee 277,3,3,4,3,4,3,2,2,2,2,3,2
Employee 113,2,3,4,3,3,3,2,3,2,2,3,3
Employee 68,3,1,4,3,2,3,2,3,3,2,2,2
Employee 207,2,3,2,3,2,2,2,4,4,2,2,2
Employee 124,4,3,4,4,3,3,2,3,4,4,4,4
Employee 166,3,3,4,3,2,3,2,3,4,3,3,3
Employee 202,2,2,2,2,2,1,2,3,2,2,#VALUE!,#VALUE!
Employee 1,3,3,4,3,3,3,3,4,4,3,3,3
Employee 195,1,3,2,3,3,2,2,4,2,1,2,2
Employee 261,2,3,4,3,4,2,3,4,3,2,3,2
Employee 224,2,2,2,2,4,2,2,1,3,1,2,2
Employee 424,1,1,2,1,2,1,1,1,1,1,2,2
Employee 410,2,2,4,3,3,2,2,3,3,3,2,2
Employee 234,2,3,4,3,2,2,2,3,2,2,2,2
Employee 42,2,3,4,2,3,2,2,3,2,2,3,3
Employee 359,2,2,2,1,2,1,1,1,1,1,2,2
Employee 429,3,3,2,3,2,3,2,1,1,2,3,2
Employee 147,2,3,4,2,3,3,2,2,3,3,3,4
Employee 441,2,3,2,2,2,2,2,2,2,2,2,2
Employee 215,1,1,2,2,1,1,1,4,2,1,2,2
Employee 119,2,3,2,2,3,3,2,2,1,2,2,2
Employee 141,1,2,2,2,2,1,1,2,2,2,2,2
Employee 433,2,3,4,2,3,3,3,4,3,3,3,2
Employee 420,2,2,4,2,2,2,2,4,3,2,3,3
Employee 438,3,3,2,3,3,1,4,3,4,3,3,2
Employee 268,3,3,4,3,3,3,2,2,3,3,2,2
Employee 426,1,2,2,1,3,1,1,1,1,1,2,2
Employee 229,3,3,4,3,3,3,3,4,3,3,3,3
Employee 250,3,3,4,3,4,3,4,2,2,4,2,2
Employee 15,2,2,2,3,1,2,2,2,3,2,3,2
Employee 221,2,2,2,2,2,2,1,1,1,1,3,2
Employee 5,3,3,4,3,3,3,3,3,2,3,3,3
Employee 376,2,2,2,3,2,3,2,4,4,3,2,2
Employee 86,3,3,2,3,3,3,3,3,3,3,3,3
Employee 123,4,4,4,4,4,4,4,4,4,4,4,4
Employee 408,2,2,2,2,2,2,3,2,2,2,2,2
Employee 69,2,2,2,3,3,3,3,2,2,1,2,2
Employee 99,3,2,4,2,2,3,2,1,2,2,2,3
Employee 209,3,3,4,3,2,4,2,4,4,4,4,4
Employee 50,2,3,4,3,3,3,3,4,3,3,4,4
Employee 87,2,2,2,2,3,2,2,3,2,2,2,2
Employee 102,2,2,2,2,2,2,2,2,2,2,2,2
Employee 378,2,2,2,1,1,1,2,1,1,1,2,2
Employee 78,3,3,4,2,3,3,3,3,4,4,2,4
Employee 103,2,3,2,3,2,2,2,2,2,2,2,2
Employee 305,2,3,2,3,4,3,1,2,2,2,2,2
Employee 321,2,2,2,2,2,2,2,3,2,2,2,2
Employee 41,1,2,2,1,1,2,1,1,1,1,2,2
Employee 3,3,3,4,3,3,3,2,2,3,3,3,2
Employee 26,3,3,4,3,3,3,2,4,4,3,3,3
Employee 95,3,4,4,4,4,4,2,2,3,3,4,4
Employee 133,2,3,4,2,3,3,2,2,2,3,3,2
Employee 392,2,2,2,3,2,1,2,2,2,2,3,2
